STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
2583,"WELL-1 AT GOPALGANJ (SPECIFY LOCATION), BIHAR",Bihar,23,23,23,7.8,7.8,7.8,612,612,612,NA,NA,NA,NA,NA,NA,7,7,7,14,14,14
2584,"WELL-2 AT GOPALGANJ (SPECIFY LOCATION), BIHAR",Bihar,30,30,30,8,8,8,562,562,562,NA,NA,NA,NA,NA,NA,4,4,4,11,11,11
2585,JAHANABAD,Bihar,25,26,26,7.4,7.8,7.6,516,516,516,NA,NA,NA,NA,NA,NA,14,14,14,39,39,39
2586,KATIHAR,Bihar,25,26,26,7.5,7.6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,6,11,17,14
2587,KHAGARIA,Bihar,24,26,25,7.4,7.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,7,9,27,18
2588,KISHANGANJ,Bihar,24,28,26,7.6,7.6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,8,11,10
2589,MADHEPURA,Bihar,26,30,28,7.7,7.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,5,4,14,9
2590,WELL AT MADHUBANI,Bihar,32,32,32,8,8,8,568,592,580,NA,NA,NA,NA,NA,NA,4,17,11,8,30,19
2591,WELL-1 AT NALANDA,Bihar,30,30,30,8.6,8.6,8.6,640,640,640,NA,NA,NA,NA,NA,NA,2,2,2,4,4,4
2592,WELL-2 AT NALANDA,Bihar,30,30,30,8.2,8.2,8.2,530,530,530,NA,NA,NA,NA,NA,NA,23,23,23,93,93,93
2593,NAWADAH,Bihar,25,28,27,7.4,7.5,7.5,548,548,548,NA,NA,NA,NA,NA,NA,20,20,20,75,75,75
2594,SAHARSA,Bihar,28,31,30,7.6,7.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,9,8,22,15
2595,SAMASTIPUR,Bihar,28,28,28,7.7,7.7,7.7,524,1125,825,NA,NA,NA,NA,NA,NA,4,13,9,7,22,15
2596,SITAMARHI,Bihar,23,23,23,7.7,7.7,7.7,565,565,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2597,"SIWAN (SPECIFY LOCATION), BIHAR",Bihar,32,32,32,7.8,7.8,7.8,525,525,525,NA,NA,NA,NA,NA,NA,7,7,7,14,14,14
2598,WELL-1 ROHTAS,Bihar,30,30,30,7.4,7.4,7.4,716,716,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2599,WELL-2 ROHTAS,Bihar,28,28,28,7.5,7.5,7.5,538,538,538,NA,NA,NA,NA,NA,NA,4,4,4,9,9,9
2600,VAISHALI,Bihar,23,23,23,7.5,7.5,7.5,984,984,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
